,pub_time,weibo_content,forward,comment,like,weibo_url,weibo_topic
98,1月2日 19:18,【#涮羊肉等10道京菜烹饪标准出炉# 3月1日起正式实施】红烧牛尾、涮羊肉、炸烹虾肉、炒肝、干炸丸子……日前发布的京菜团体标准，从选料、加工切配、调味、火候、成品口味特点等方面，对10道地道京菜的烹饪技术进行了规范。该标准将于今年3月1日起正式实施。你最喜欢吃啥菜?  ​​​​...展开全文,371.0,468.0,2917.0,https://weibo.com/2656274875/InEkGlYtw?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#涮羊肉等10道京菜烹饪标准出炉# 3月1日起正式实施
99,1月2日 18:42,#央视热评#【#堵塞消防通道等于间接杀人#】新年第一天，#重庆加州花园#小区一楼房发生火灾，而消防通道却被堵塞占用。消防员不得不切割隔离桩，群众则合力将堵路车辆掀翻。消防通道是生命通道，堵塞消防通道无异于“间接杀人”！水火无情，作为公民，我们最需要做的就是：把生命通道让开！  ​​​​...展开全文,491.0,672.0,5421.0,https://weibo.com/2656274875/InE6rnR4V?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#堵塞消防通道等于间接杀人#
100,1月2日 18:02,【@杜江侦察记 ：#努力是最不值得一提的事#】从《红海行动》中的爆破手，到《烈火英雄》中的特勤中队长；从《我和我的祖国》中的升旗手，到《中国机长》中的机长……2019年，杜江被网友称为“新中国70周年献礼片第一男主角”。他直言，机会不是从天而降，坚信勤能补拙。看杜江创变之路↓同意的转走！  ​​​​...展开全文,10364.0,6605.0,151675.0,https://weibo.com/2656274875/InDQ9pirY?from=page_1002062656274875_profile&wvr=6&mod=weibotime,@杜江侦察记 ：#努力是最不值得一提的事#
101,1月2日 17:25,【#放羊娃成网红带货主播#：拼搏到感动自己】阿木古楞，汉语名叫太平，是内蒙古草原地道的“放羊娃”。为卖货，他接触到了直播。刚开始时，弹幕上的字他都认不全，需要不停翻看字典；邻居们也觉得他不务正业，“玩个手机嗷嗷喊”……但如今，太平一年销售额达到450万元，还帮助牧民们一起脱贫致富↓  ​​​​...展开全文,5335.0,3681.0,123717.0,https://weibo.com/2656274875/InDB8jqKC?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#放羊娃成网红带货主播#：拼搏到感动自己
102,1月2日 16:48,"【#李铁出任中国男足主教练# 能否率队小组突围？】世预赛40强赛，中国队目前2胜1平1负排名小组第二。根据规则，8个小组第一和4个成绩最好的小组第二才有资格晋级12强赛。“铁家军”，要加油呀！,【官宣！#李铁出任中国男足主教练# 】中国足球协会正式任命李铁为中国国家男子足球队主教练。（央视记者杨威） ​​​​",261.0,537.0,2361.0,https://weibo.com/2656274875/InDlW0zNL?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#李铁出任中国男足主教练# 能否率队小组突围？
103,1月2日 16:15,【#新年第一天上班状态# 你是啥样？】新年新开始，上班第一天，一句话形容你现在的状态！ 央视新闻的微博投票 ​​​​,223.0,628.0,31506.0,https://weibo.com/2656274875/InD8tvYAP?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#新年第一天上班状态# 你是啥样？
104,1月2日 11:55,【花式表白祖国沈阳音乐学院#多人网络虚拟合唱我的祖国#】“一条大河波浪宽，风吹稻花香两岸”……沈阳音乐学院师生和校友，通过网络连线进行了一次虚拟合唱，共同唱响《我的祖国》。转发！一起祝福祖国！ 央视新闻的微博视频 ​​​​,498.0,271.0,3145.0,https://weibo.com/2656274875/InBqZ7FNZ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,花式表白祖国沈阳音乐学院#多人网络虚拟合唱我的祖国#
105,1月2日 11:55,【花式表白祖国沈阳音乐学院#多人网络虚拟合唱我的祖国#】“一条大河波浪宽，风吹稻花香两岸”……沈阳音乐学院师生和校友，通过网络连线进行了一次虚拟合唱，共同唱响《我的祖国》。转发！一起祝福祖国！ 央视新闻的微博视频 ​​​​,498.0,271.0,3145.0,https://weibo.com/2656274875/InBqZ7FNZ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,花式表白祖国沈阳音乐学院#多人网络虚拟合唱我的祖国#
106,1月2日 10:52,【#台湾一架黑鹰直升机迫降# 持续搜救中】台湾“防务部门”今天证实，台军一架黑鹰直升机今晨失联，机上包括“参谋总长”等3名高阶军官和黑鹰机组成员共13人。飞机因不明原因9点迫降在新北市乌来山区。截至目前，10名机组人员已找到，剩余3名军官还在搜寻中。（央视记者赵超逸） ​​​​,464.0,1551.0,14663.0,https://weibo.com/2656274875/InB1mwHuG?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#台湾一架黑鹰直升机迫降# 持续搜救中
107,1月2日 10:42,【#最老的20后已出生# 90后小编只想安静地退休】1日00:01，南京宝宝豆豆出生；00:07，成都宝宝糖果降生；00:20，皮皮在北京出生…2020第一天，首批“20后”先后到来。虽有人说，“20后”看“90后”仿佛“90后”看“60后”，但网友表示：“90后”依(yong)然(bu)年(ren)轻(shu)你是几零后? ​​​​,423.0,972.0,5236.0,https://weibo.com/2656274875/InAXtpqnI?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#最老的20后已出生# 90后小编只想安静地退休
108,1月2日 09:58,【前方高萌！#江豚水上表演吐水转圈圈#】昨天，长江南京老下关段，数十头江豚一前一后地跳跃，时不时在水上旋转，还不停抬头吐水。网友：你们是在迎接新年吗？转走，迎新好彩头！ 央视新闻的微博视频 ​​​​,3252.0,1003.0,16438.0,https://weibo.com/2656274875/InAFGkGvJ?from=page_1002062656274875_profile&wvr=6&mod=weibotime,前方高萌！#江豚水上表演吐水转圈圈#
109,1月2日 09:18,【直播！外国友人齐聚过腊八 感受传统中国节】#今天腊八#，在浙江杭州江干区四季青街道的国际化社区，外国友人和当地居民一起过节啦！喝上一碗热腾腾的腊八粥，寓意对新年红红火火的期盼。南方的腊八粥有哪些讲究？传统中国节会过出怎样的国际范儿？看直播↓(央视记者于晨 倪铮） 央视新闻的微博直播 ​​​​...展开全文,270.0,171.0,3646.0,https://weibo.com/2656274875/InAp9gt2X?from=page_1002062656274875_profile&wvr=6&mod=weibotime,直播！外国友人齐聚过腊八 感受传统中国节
110,1月2日 09:04,【燃！#2020陆军MV#】他们守护着祖国，守护着我们！转起！致敬中国军人！@人民陆军 人民陆军的微博视频 ​​​​,2050.0,996.0,10370.0,https://weibo.com/2656274875/InAjB1nd7?from=page_1002062656274875_profile&wvr=6&mod=weibotime,燃！#2020陆军MV#
111,1月2日 08:18,【#重庆火灾初查系阳台起火# 引燃外墙保温层】昨天17时许，#重庆加州花园#小区一楼房发生火灾。火已被扑灭，暂无人员伤亡。初步核查，火灾从小区A4幢第2层一居民房阳台起火，火苗成立体状燃烧，引燃外墙保温层及雨棚，蔓延至第30层阳台并窜至部分居民房屋内。火灾具体原因正进一步调查中。（央视记者伍 ​​​​...展开全文,984.0,2791.0,38916.0,https://weibo.com/2656274875/InA19tdRF?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#重庆火灾初查系阳台起火# 引燃外墙保温层
112,1月2日 07:00,"【#今天腊八# 转起！准备过年！】今天是农历腊月初八，腊八节。每逢腊八这天，家家户户都会做腊八粥、腌腊八蒜，合家团聚一起食用，馈赠亲朋好友。""过了腊八就是年""，从腊八开始，要扫房、祭灶、写春联、赶年集、买年画、备年货…直到除夕夜。今天，一起喝粥""蒜蒜""新年怎么过~ ​​​​",2141.0,746.0,4478.0,https://weibo.com/2656274875/Inzv9em0Z?from=page_1002062656274875_profile&wvr=6&mod=weibotime,#今天腊八# 转起！准备过年！
